Kakamega-106_S84_L001_paired_trim_R2	14.0	45.0	28.0	32.0	25.0	15.0	19.0	15.0	9.0	11.0	7.0	13.0	12.0	25.0	15.0	36.0	21.0	12.0	13.0	14.0	13.0	14.0	26.0	32.0	17.0	24.0	37.0	31.0	47.0	54.0	60.0	30.0	42.0	63.0	63.0	67.0	77.0	145.0	122.0	149.0	169.0	212.0	607.0	9732.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kakamega-108_S85_L001_paired_trim_R1	8.0	12.0	14.0	16.0	16.0	30.0	12.0	64.0	218.0	127.0	57.0	52.0	59.0	56.0	67.0	54.0	65.0	95.0	66.0	41.0	61.0	49.0	70.0	64.0	58.0	48.0	55.0	41.0	45.0	50.0	70.0	81.0	51.0	53.0	63.0	46.0	44.0	90.0	79.0	85.0	75.0	94.0	380.0	63899.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kakamega-108_S85_L001_paired_trim_R2	423.0	313.0	182.0	202.0	128.0	93.0	88.0	51.0	58.0	78.0	65.0	79.0	102.0	125.0	101.0	111.0	85.0	92.0	81.0	54.0	74.0	113.0	89.0	91.0	105.0	126.0	126.0	101.0	140.0	191.0	258.0	182.0	209.0	260.0	274.0	313.0	321.0	479.0	581.0	660.0	850.0	955.0	2376.0	55395.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kakamega-111_S86_L001_paired_trim_R1	9.0	11.0	8.0	2.0	5.0	7.0	9.0	21.0	25.0	15.0	5.0	16.0	18.0	13.0	15.0	14.0	35.0	22.0	24.0	16.0	15.0	14.0	18.0	25.0	17.0	19.0	18.0	15.0	19.0	23.0	32.0	21.0	17.0	12.0	29.0	24.0	18.0	43.0	45.0	42.0	38.0	31.0	222.0	33290.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kakamega-111_S86_L001_paired_trim_R2	89.0	86.0	45.0	90.0	50.0	33.0	27.0	32.0	22.0	38.0	19.0	33.0	46.0	45.0	54.0	60.0	67.0	67.0	57.0	90.0	145.0	112.0	159.0	178.0	89.0	93.0	122.0	141.0	176.0	229.0	276.0	193.0	174.0	214.0	222.0	318.0	359.0	472.0	439.0	546.0	590.0	597.0	1525.0	25918.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kakamega-114_S87_L001_paired_trim_R1	4.0	9.0	2.0	7.0	8.0	8.0	14.0	11.0	37.0	15.0	14.0	8.0	21.0	7.0	12.0	16.0	16.0	22.0	12.0	12.0	18.0	17.0	19.0	19.0	34.0	14.0	24.0	16.0	27.0	23.0	30.0	23.0	16.0	16.0	27.0	19.0	24.0	33.0	50.0	41.0	53.0	42.0	220.0	30238.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kakamega-114_S87_L001_paired_trim_R2	100.0	71.0	55.0	60.0	27.0	43.0	41.0	29.0	19.0	30.0	15.0	26.0	58.0	36.0	32.0	48.0	37.0	38.0	46.0	59.0	69.0	60.0	62.0	60.0	79.0	81.0	131.0	108.0	129.0	185.0	201.0	139.0	158.0	206.0	177.0	171.0	216.0	338.0	507.0	647.0	776.0	739.0	1385.0	23804.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kakamega-115_S88_L001_paired_trim_R1	5.0	7.0	12.0	4.0	4.0	5.0	3.0	11.0	8.0	5.0	5.0	4.0	7.0	5.0	8.0	9.0	15.0	5.0	6.0	5.0	8.0	11.0	10.0	19.0	17.0	11.0	12.0	13.0	18.0	18.0	22.0	18.0	12.0	13.0	19.0	10.0	19.0	34.0	40.0	37.0	36.0	35.0	171.0	32574.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kakamega-115_S88_L001_paired_trim_R2	32.0	42.0	35.0	47.0	22.0	21.0	22.0	32.0	16.0	13.0	20.0	14.0	34.0	38.0	38.0	72.0	54.0	41.0	17.0	23.0	35.0	44.0	50.0	59.0	56.0	63.0	106.0	63.0	115.0	147.0	203.0	131.0	144.0	163.0	154.0	218.0	230.0	385.0	427.0	520.0	587.0	656.0	1312.0	26809.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kakamega-116_S89_L001_paired_trim_R1	2.0	7.0	6.0	4.0	8.0	6.0	9.0	7.0	41.0	25.0	11.0	5.0	10.0	14.0	9.0	13.0	28.0	14.0	20.0	6.0	15.0	11.0	23.0	10.0	5.0	6.0	10.0	13.0	15.0	15.0	24.0	23.0	11.0	10.0	18.0	13.0	16.0	27.0	27.0	11.0	31.0	35.0	140.0	29547.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kakamega-116_S89_L001_paired_trim_R2	90.0	89.0	65.0	60.0	37.0	23.0	23.0	30.0	28.0	21.0	14.0	19.0	33.0	25.0	26.0	39.0	36.0	31.0	27.0	28.0	38.0	36.0	44.0	51.0	30.0	51.0	102.0	67.0	104.0	112.0	174.0	122.0	151.0	163.0	175.0	173.0	195.0	285.0	402.0	523.0	583.0	663.0	1389.0	23924.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kakamega-91_S72_L001_paired_trim_R1	1.0	4.0	2.0	3.0	2.0	0.0	3.0	29.0	171.0	82.0	49.0	40.0	19.0	24.0	24.0	19.0	31.0	21.0	9.0	13.0	11.0	22.0	15.0	15.0	12.0	10.0	12.0	6.0	14.0	10.0	9.0	11.0	5.0	9.0	4.0	8.0	5.0	10.0	9.0	12.0	4.0	3.0	45.0	7651.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kakamega-91_S72_L001_paired_trim_R2	22.0	59.0	86.0	73.0	328.0	58.0	19.0	7.0	4.0	12.0	9.0	10.0	4.0	7.0	21.0	24.0	13.0	11.0	4.0	6.0	12.0	14.0	15.0	22.0	8.0	25.0	29.0	15.0	31.0	52.0	66.0	50.0	42.0	48.0	27.0	79.0	73.0	100.0	94.0	145.0	126.0	146.0	304.0	6158.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kakamega-92_S73_L001_paired_trim_R1	9.0	12.0	15.0	10.0	12.0	12.0	8.0	88.0	375.0	156.0	83.0	67.0	64.0	61.0	75.0	58.0	65.0	59.0	52.0	45.0	40.0	31.0	50.0	52.0	33.0	39.0	39.0	28.0	27.0	30.0	37.0	29.0	31.0	49.0	35.0	23.0	29.0	43.0	37.0	35.0	51.0	50.0	192.0	35945.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kakamega-92_S73_L001_paired_trim_R2	226.0	860.0	145.0	174.0	259.0	99.0	43.0	34.0	32.0	30.0	37.0	26.0	36.0	35.0	35.0	41.0	31.0	36.0	25.0	38.0	41.0	43.0	41.0	47.0	38.0	58.0	63.0	54.0	60.0	86.0	129.0	85.0	87.0	109.0	108.0	131.0	137.0	265.0	304.0	386.0	446.0	477.0	1248.0	31596.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kakamega-93_S74_L001_paired_trim_R1	4.0	1.0	2.0	1.0	5.0	7.0	6.0	9.0	14.0	10.0	10.0	2.0	8.0	7.0	17.0	7.0	13.0	16.0	8.0	2.0	3.0	11.0	21.0	15.0	8.0	7.0	12.0	9.0	7.0	9.0	11.0	14.0	8.0	3.0	20.0	5.0	15.0	26.0	11.0	7.0	22.0	25.0	76.0	15923.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kakamega-93_S74_L001_paired_trim_R2	35.0	60.0	21.0	47.0	28.0	17.0	24.0	19.0	12.0	17.0	14.0	21.0	26.0	20.0	28.0	30.0	17.0	18.0	16.0	14.0	15.0	14.0	30.0	27.0	21.0	15.0	35.0	21.0	47.0	72.0	67.0	43.0	62.0	80.0	76.0	81.0	96.0	157.0	178.0	180.0	207.0	232.0	555.0	13622.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kakamega-94_S75_L001_paired_trim_R1	3.0	7.0	2.0	4.0	6.0	3.0	12.0	52.0	130.0	73.0	30.0	40.0	39.0	32.0	28.0	23.0	35.0	45.0	26.0	23.0	27.0	23.0	25.0	40.0	28.0	17.0	27.0	18.0	20.0	25.0	25.0	33.0	19.0	16.0	23.0	27.0	25.0	31.0	24.0	28.0	34.0	39.0	153.0	19262.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kakamega-94_S75_L001_paired_trim_R2	134.0	362.0	64.0	71.0	112.0	38.0	34.0	29.0	15.0	20.0	18.0	29.0	29.0	48.0	37.0	39.0	34.0	30.0	45.0	39.0	41.0	45.0	43.0	29.0	47.0	73.0	77.0	66.0	81.0	97.0	100.0	107.0	96.0	137.0	126.0	130.0	133.0	229.0	280.0	420.0	495.0	459.0	1010.0	15054.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kakamega-96_S76_L001_paired_trim_R1	2.0	2.0	4.0	3.0	4.0	6.0	4.0	7.0	6.0	6.0	1.0	2.0	10.0	4.0	3.0	5.0	10.0	7.0	5.0	7.0	3.0	6.0	7.0	12.0	8.0	8.0	11.0	9.0	9.0	7.0	10.0	15.0	6.0	7.0	17.0	18.0	12.0	31.0	21.0	16.0	16.0	22.0	85.0	21839.0
	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	152	157	162	167	172	177	182	187	192	197	202	207	212	217	222	227	232	237	242	247	251
Kakamega-96_S76_L001_paired_trim_R2	26.0	33.0	32.0	16.0	20.0	12.0	27.0	16.0	18.0	9.0	4.0	18.0	18.0	19.0	26.0	43.0	33.0	26.0	15.0	23.0	26.0	29.0	50.0	34.0	16.0	40.0	45.0	31.0	72.0	91.0	128.0	84.0	96.0	121.0	95.0	174.0	213.0	309.0	250.0	331.0	377.0	433.0	1015.0	17799.0
